"YEAR","NTA2020","Pop1","MaleP","MdAge","Hsp1P","WNHP","BNHP","ANHP","OthNHP","MIncome"
2010,"QN0707",62478,47.13,41.7,14.77,7.73,3.59,71.53,2.39,37548.12
2011,"QN0707",63218,47.08,42,14.59,7.43,3.55,72.1,2.33,38933.09
2012,"QN0707",63958,47.06,42.4,14.38,7.16,3.5,72.7,2.26,40922.06
2013,"QN0707",64698,47.04,42.7,14.17,6.89,3.45,73.3,2.19,42397.12
2014,"QN0707",65438,47.02,43,13.96,6.62,3.4,73.9,2.12,40959.16
2015,"QN0707",66179,47,43.4,13.75,6.35,3.35,74.5,2.05,39325.11
2016,"QN0707",66919,46.98,43.7,13.54,6.08,3.3,75.1,1.98,37266.49
2017,"QN0707",67659,46.96,44,13.33,5.81,3.25,75.7,1.91,41433.43
2018,"QN0707",68399,46.94,44.3,13.12,5.54,3.2,76.3,1.84,41902.68
2019,"QN0707",69139,46.92,44.7,12.91,5.27,3.15,76.9,1.77,37635.98
2020,"QN0707",69879,46.9,45,12.72,4.96,3.11,77.55,1.65,41335.07
2010,"QN0761",0,0,0,0,0,0,0,0,0
2011,"QN0761",0,0,0,0,0,0,0,0,0
2012,"QN0761",0,0,0,0,0,0,0,0,0
2013,"QN0761",0,0,0,0,0,0,0,0,0
2014,"QN0761",0,0,0,0,0,0,0,0,0
2015,"QN0761",0,0,0,0,0,0,0,0,0
2016,"QN0761",0,0,0,0,0,0,0,0,0
2017,"QN0761",0,0,0,0,0,0,0,0,0
2018,"QN0761",0,0,0,0,0,0,0,0,0
2019,"QN0761",0,0,0,0,0,0,0,0,0
2020,"QN0761",0,0,0,0,0,0,0,0,0
2010,"QN0791",0,0,0,0,0,0,0,0,0
2011,"QN0791",0,0,0,0,0,0,0,0,0
2012,"QN0791",0,0,0,0,0,0,0,0,0
2013,"QN0791",1,0,18,0,0,0,0,100,0
2014,"QN0791",1,0,18,0,0,0,0,100,0
2015,"QN0791",1,0,18,0,0,0,0,100,0
2016,"QN0791",1,100,18,0,0,0,0,100,0
2017,"QN0791",1,100,18,0,0,0,0,100,0
2018,"QN0791",2,100,20,0,0,0,50,50,0
2019,"QN0791",2,100,22.5,0,0,0,50,50,0
2020,"QN0791",2,100,25,0,0,0,50,50,0
2010,"QN0801",34278,48.38,33.7,14.47,57.27,6.72,17.97,3.57,55658.28
2011,"QN0801",34451,48.35,34,14.49,56.36,6.65,18.9,3.6,58175.04
2012,"QN0801",34624,48.3,34.3,14.48,55.42,6.6,19.8,3.7,60482.34
2013,"QN0801",34797,48.25,34.5,14.47,54.48,6.55,20.7,3.8,66931.33
2014,"QN0801",34970,48.2,34.8,14.46,53.54,6.5,21.6,3.9,66054.37
2015,"QN0801",35144,48.15,35.1,14.45,52.6,6.45,22.5,4,63042.58
2016,"QN0801",35317,48.1,35.4,14.44,51.66,6.4,23.4,4.1,64464.2
2017,"QN0801",35490,48.05,35.7,14.43,50.72,6.35,24.3,4.2,70981.93
2018,"QN0801",35663,48,35.9,14.42,49.78,6.3,25.2,4.3,73156.12
2019,"QN0801",35836,47.95,36.2,14.41,48.84,6.25,26.1,4.4,72052.1
2020,"QN0801",36009,47.93,36.5,14.39,47.89,6.24,26.95,4.53,77901.92
2010,"QN0802",33704,46.79,36.4,18.35,33.13,14.58,30.59,3.35,56166.44
2011,"QN0802",33900,46.84,36.4,18.71,32.33,14.51,30.92,3.53,53306.23
2012,"QN0802",34097,46.88,36.5,19.12,31.56,14.42,31.24,3.66,50246.55
2013,"QN0802",34294,46.92,36.5,19.53,30.79,14.33,31.56,3.79,48045.01
2014,"QN0802",34490,46.96,36.6,19.94,30.02,14.24,31.88,3.92,49913.61
2015,"QN0802",34686,47,36.6,20.35,29.25,14.15,32.2,4.05,44208.81
2016,"QN0802",34883,47.04,36.6,20.76,28.48,14.06,32.52,4.18,50181.91
2017,"QN0802",35080,47.08,36.7,21.17,27.71,13.97,32.84,4.31,57335.52
2018,"QN0802",35276,47.12,36.7,21.58,26.94,13.88,33.16,4.44,58813.6
2019,"QN0802",35473,47.16,36.8,21.99,26.17,13.79,33.48,4.57,56350.02
2020,"QN0802",35669,47.22,36.8,22.37,25.39,13.73,33.81,4.7,63214.13
2010,"QN0803",21345,47.12,40.4,10.08,33.6,6.53,47.34,2.45,82100.74
2011,"QN0803",21554,47.16,40.4,10.36,32.79,6.44,47.83,2.58,83869.51
2012,"QN0803",21763,47.22,40.5,10.62,31.98,6.38,48.36,2.66,84520.89
2013,"QN0803",21972,47.28,40.5,10.88,31.17,6.32,48.89,2.74,82080.14
2014,"QN0803",22181,47.34,40.6,11.14,30.36,6.26,49.42,2.82,84016.49
2015,"QN0803",22390,47.4,40.6,11.4,29.55,6.2,49.95,2.9,80347.8
2016,"QN0803",22598,47.46,40.7,11.66,28.74,6.14,50.48,2.98,88315.32
2017,"QN0803",22807,47.52,40.8,11.92,27.93,6.08,51.01,3.06,86758.42
2018,"QN0803",23016,47.58,40.8,12.18,27.12,6.02,51.54,3.14,87537.12
2019,"QN0803",23225,47.64,40.9,12.44,26.31,5.96,52.07,3.22,88715.75
2020,"QN0803",23434,47.74,40.9,12.69,25.48,5.86,52.57,3.41,85130.7
2010,"QN0804",22170,46.52,41.6,14.51,28.02,27.17,24.87,5.43,74513.4
2011,"QN0804",22311,46.54,41.7,14.53,27.47,26.88,25.53,5.59,80001.24
2012,"QN0804",22451,46.58,41.8,14.56,26.94,26.56,26.16,5.78,82914.64
2013,"QN0804",22592,46.62,42,14.59,26.41,26.24,26.79,5.97,76966.75
2014,"QN0804",22732,46.66,42.1,14.62,25.88,25.92,27.42,6.16,76195.77
2015,"QN0804",22873,46.7,42.2,14.65,25.35,25.6,28.05,6.35,72844.68
2016,"QN0804",23014,46.74,42.3,14.68,24.82,25.28,28.68,6.54,75932.41
2017,"QN0804",23154,46.78,42.4,14.71,24.29,24.96,29.31,6.73,79688.56
2018,"QN0804",23295,46.82,42.6,14.74,23.76,24.64,29.94,6.92,80158.83
2019,"QN0804",23435,46.86,42.7,14.77,23.23,24.32,30.57,7.11,90261.02
2020,"QN0804",23576,46.9,42.8,14.82,22.72,23.97,31.15,7.33,77092.47
2010,"QN0805",36500,48.97,36.9,23.83,22.4,11.61,35.74,6.41,56423.98
2011,"QN0805",36779,48.97,37.1,23.8,21.79,11.54,36.36,6.51,56007.22
2012,"QN0805",37058,48.94,37.3,23.8,21.18,11.48,37.02,6.52,58905.65
2013,"QN0805",37338,48.91,37.5,23.8,20.57,11.42,37.68,6.53,58514.45
2014,"QN0805",37617,48.88,37.7,23.8,19.96,11.36,38.34,6.54,59489.4
2015,"QN0805",37896,48.85,38,23.8,19.35,11.3,39,6.55,57976.83
2016,"QN0805",38175,48.82,38.2,23.8,18.74,11.24,39.66,6.56,64096.14
2017,"QN0805",38454,48.79,38.4,23.8,18.13,11.18,40.32,6.57,67617.92
2018,"QN0805",38734,48.76,38.6,23.8,17.52,11.12,40.98,6.58,69739.98
2019,"QN0805",39013,48.73,38.8,23.8,16.91,11.06,41.64,6.59,69254.12
2020,"QN0805",39292,48.7,39,23.81,16.32,10.95,42.27,6.65,73556.05
2010,"QN0871",1,100,82.5,100,0,0,0,0,0
2011,"QN0871",1,100,80.9,100,0,0,0,0,0
2012,"QN0871",1,100,79.2,100,0,0,0,0,0
2013,"QN0871",1,100,77.6,100,0,0,0,0,0
2014,"QN0871",1,100,75.9,100,0,0,0,0,0
2015,"QN0871",1,100,74.2,0,0,0,0,100,0
2016,"QN0871",1,100,72.6,0,0,0,0,100,0
2017,"QN0871",1,100,70.9,0,0,0,0,100,0
2018,"QN0871",1,100,69.3,0,0,0,0,100,0
2019,"QN0871",1,100,67.7,0,0,0,0,100,0
2020,"QN0871",1,100,66,0,0,0,0,100,0
2010,"QN0891",73,47.95,51,5.48,75.34,2.74,16.44,0,0
2011,"QN0891",66,51.52,50.3,7.58,68.18,6.06,18.18,0,130096
2012,"QN0891",59,54.24,49.5,8.47,61.02,10.17,20.34,0,133036
2013,"QN0891",53,56.6,48.8,9.43,52.83,13.21,22.64,1.89,49688
2014,"QN0891",46,60.87,48.1,10.87,45.65,17.39,26.09,0,49250
2015,"QN0891",39,64.1,47.4,12.82,38.46,20.51,28.21,0,32188
2016,"QN0891",32,65.62,46.6,15.62,31.25,25,31.25,-3.12,43889
2017,"QN0891",25,72,45.9,16,24,28,32,0,77312.86
2018,"QN0891",19,73.68,45.2,15.79,15.79,31.58,36.84,0,76858.4
2019,"QN0891",12,75,44.4,16.67,8.33,33.33,41.67,0,0
2020,"QN0891",5,80,43.7,20,0,40,40,0,0
2010,"QN0901",23278,48.12,38.4,24.28,49.31,6.51,15.59,4.32,55699.5
2011,"QN0901",23387,48.12,38.6,24.59,48.37,6.63,15.87,4.54,53997.05
2012,"QN0901",23497,48.14,38.8,24.88,47.44,6.76,16.14,4.78,59124.52
2013,"QN0901",23606,48.16,39.1,25.17,46.51,6.89,16.41,5.02,63331.68
2014,"QN0901",23715,48.18,39.3,25.46,45.58,7.02,16.68,5.26,65814.97
2015,"QN0901",23824,48.2,39.5,25.75,44.65,7.15,16.95,5.5,64569.77
2016,"QN0901",23934,48.22,39.7,26.04,43.72,7.28,17.22,5.74,63771.53
2017,"QN0901",24043,48.24,39.9,26.33,42.79,7.41,17.49,5.98,72295.89
2018,"QN0901",24152,48.26,40.2,26.62,41.86,7.54,17.76,6.22,75129.9
2019,"QN0901",24262,48.28,40.4,26.91,40.93,7.67,18.03,6.46,69028.16
2020,"QN0901",24371,48.32,40.6,27.2,39.98,7.78,18.32,6.73,81435.52
2010,"QN0902",32951,50.19,33.9,44.41,15.33,9.07,21.73,9.45,57752.21
2011,"QN0902",33066,50.15,34.2,44.58,14.94,8.96,21.78,9.74,59390.54
2012,"QN0902",33181,50.1,34.5,44.76,14.58,8.82,21.86,9.98,62479.88
2013,"QN0902",33296,50.05,34.8,44.94,14.22,8.68,21.94,10.22,62574.49
2014,"QN0902",33411,50,35.1,45.12,13.86,8.54,22.02,10.46,60975.85
2015,"QN0902",33526,49.95,35.4,45.3,13.5,8.4,22.1,10.7,61486.91
2016,"QN0902",33640,49.9,35.8,45.48,13.14,8.26,22.18,10.94,63378.5
2017,"QN0902",33755,49.85,36.1,45.66,12.78,8.12,22.26,11.18,67588.61
2018,"QN0902",33870,49.8,36.4,45.84,12.42,7.98,22.34,11.42,69127.6
2019,"QN0902",33985,49.75,36.7,46.02,12.06,7.84,22.42,11.66,68904.22
2020,"QN0902",34100,49.71,37,46.23,11.74,7.69,22.52,11.82,71317.56
2010,"QN0903",24165,50.59,33.8,24.32,4.9,13.95,36.11,20.72,59008.1
2011,"QN0903",24163,50.69,34.2,24.07,4.81,13.55,36.49,21.08,58154.12
2012,"QN0903",24160,50.78,34.6,23.84,4.72,13.1,36.88,21.46,57104.76
2013,"QN0903",24158,50.87,34.9,23.61,4.63,12.65,37.27,21.84,57535.54
2014,"QN0903",24155,50.96,35.3,23.38,4.54,12.2,37.66,22.22,56220.16
2015,"QN0903",24153,51.05,35.7,23.15,4.45,11.75,38.05,22.6,56835.1
2016,"QN0903",24151,51.14,36.1,22.92,4.36,11.3,38.44,22.98,59675
2017,"QN0903",24148,51.23,36.5,22.69,4.27,10.85,38.83,23.36,68638.69
2018,"QN0903",24146,51.32,36.8,22.46,4.18,10.4,39.22,23.74,71083.76
2019,"QN0903",24143,51.41,37.2,22.23,4.09,9.95,39.61,24.12,72282.64
2020,"QN0903",24141,51.47,37.6,22.02,4.02,9.55,39.97,24.45,74852.82
2010,"QN0904",24158,49.79,33.1,44.77,14.69,8.92,21.79,9.82,51902.12
2011,"QN0904",24473,49.82,33.3,44.42,14.18,8.61,22.79,10,52411.34
2012,"QN0904",24789,49.84,33.5,44.04,13.66,8.32,23.78,10.2,53899.45
2013,"QN0904",25104,49.86,33.7,43.66,13.14,8.03,24.77,10.4,58845.38
2014,"QN0904",25420,49.88,33.9,43.28,12.62,7.74,25.76,10.6,59353.54
2015,"QN0904",25735,49.9,34.1,42.9,12.1,7.45,26.75,10.8,59033.85
2016,"QN0904",26050,49.92,34.3,42.52,11.58,7.16,27.74,11,58146.51
2017,"QN0904",26366,49.94,34.5,42.14,11.06,6.87,28.73,11.2,65774.99
2018,"QN0904",26681,49.96,34.7,41.76,10.54,6.58,29.72,11.4,68105.56
2019,"QN0904",26997,49.98,34.9,41.38,10.02,6.29,30.71,11.6,68141
2020,"QN0904",27312,50,35.1,41.02,9.46,5.97,31.69,11.86,69287.33
2010,"QN0905",38382,49.35,35.2,56.33,18.48,4.96,15.52,4.72,54901.66
2011,"QN0905",38739,49.39,35.5,56.54,18,4.91,15.79,4.76,54794.9
2012,"QN0905",39095,49.38,35.7,56.78,17.5,4.82,16.08,4.82,57596.5
2013,"QN0905",39452,49.37,36,57.02,17,4.73,16.37,4.88,60027.45
2014,"QN0905",39808,49.36,36.3,57.26,16.5,4.64,16.66,4.94,61476.99
2015,"QN0905",40165,49.35,36.6,57.5,16,4.55,16.95,5,60417.84
2016,"QN0905",40522,49.34,36.8,57.74,15.5,4.46,17.24,5.06,63969.27
2017,"QN0905",40878,49.33,37.1,57.98,15,4.37,17.53,5.12,69590.16
2018,"QN0905",41235,49.32,37.4,58.22,14.5,4.28,17.82,5.18,72099.48
2019,"QN0905",41591,49.31,37.6,58.46,14,4.19,18.11,5.24,74441.5
2020,"QN0905",41948,49.26,37.9,58.69,13.55,4.06,18.39,5.31,79968.67
2010,"QN1001",75878,48.72,36.1,21.01,6.87,25.67,23.32,23.13,57227.19
2011,"QN1001",76244,48.74,36.5,20.76,6.72,25.09,23.56,23.87,59331.95
2012,"QN1001",76610,48.78,36.9,20.52,6.54,24.48,23.82,24.64,60341.3
2013,"QN1001",76977,48.82,37.3,20.28,6.36,23.87,24.08,25.41,59449.79
2014,"QN1001",77343,48.86,37.7,20.04,6.18,23.26,24.34,26.18,57606.46
2015,"QN1001",77709,48.9,38.1,19.8,6,22.65,24.6,26.95,58845.57
2016,"QN1001",78075,48.94,38.4,19.56,5.82,22.04,24.86,27.72,63559.77
2017,"QN1001",78441,48.98,38.8,19.32,5.64,21.43,25.12,28.49,74152.49
2018,"QN1001",78808,49.02,39.2,19.08,5.46,20.82,25.38,29.26,77504.49
2019,"QN1001",79174,49.06,39.6,18.84,5.28,20.21,25.64,30.03,79768.28
2020,"QN1001",79540,49.1,40,18.57,5.14,19.61,25.92,30.76,85463.36
2010,"QN1002",21376,47.91,36.3,37.95,30.46,5.56,19.38,6.65,59093
2011,"QN1002",21590,47.92,36.5,37.96,29.39,5.72,20.13,6.8,63621.46
2012,"QN1002",21804,47.94,36.7,38.02,28.28,5.84,20.86,7,63254.55
2013,"QN1002",22019,47.96,36.8,38.08,27.17,5.96,21.59,7.2,64652.55
2014,"QN1002",22233,47.98,37,38.14,26.06,6.08,22.32,7.4,66006.96
2015,"QN1002",22447,48,37.2,38.2,24.95,6.2,23.05,7.6,66997.28
2016,"QN1002",22661,48.02,37.4,38.26,23.84,6.32,23.78,7.8,69648.94
2017,"QN1002",22875,48.04,37.6,38.32,22.73,6.44,24.51,8,72644.83
2018,"QN1002",23090,48.06,37.7,38.38,21.62,6.56,25.24,8.2,74546.48
2019,"QN1002",23304,48.08,37.9,38.44,20.51,6.68,25.97,8.4,79238.89
2020,"QN1002",23518,48.14,38.1,38.46,19.36,6.8,26.68,8.7,77582.86
2010,"QN1003",26143,47.01,45.2,16.83,76.76,1.57,3.53,1.32,60475.8
2011,"QN1003",26261,47.04,45.2,17.63,75.39,1.75,3.73,1.5,61163.67
2012,"QN1003",26378,47.08,45.3,18.46,73.98,1.9,3.96,1.7,61082.03
2013,"QN1003",26496,47.12,45.3,19.29,72.57,2.05,4.19,1.9,62015.14
2014,"QN1003",26614,47.16,45.3,20.12,71.16,2.2,4.42,2.1,64355.3
2015,"QN1003",26732,47.2,45.3,20.95,69.75,2.35,4.65,2.3,64631.56
2016,"QN1003",26849,47.24,45.4,21.78,68.34,2.5,4.88,2.5,62622.5
2017,"QN1003",26967,47.28,45.4,22.61,66.93,2.65,5.11,2.7,74758.46
2018,"QN1003",27085,47.32,45.4,23.44,65.52,2.8,5.34,2.9,77726.74
2019,"QN1003",27202,47.36,45.5,24.27,64.11,2.95,5.57,3.1,69417.89
2020,"QN1003",27320,47.36,45.5,25.13,62.68,3.08,5.8,3.32,82563.96
2010,"QN1091",5,80,32.5,0,20,60,20,0,0
2011,"QN1091",4,75,29.2,0,25,50,25,0,0
2012,"QN1091",4,75,26,0,25,50,25,0,0
2013,"QN1091",3,66.67,22.8,0,0,33.33,0,66.67,0
2014,"QN1091",3,33.33,19.5,0,0,33.33,0,66.67,0
2015,"QN1091",2,50,18,0,0,50,0,50,0
2016,"QN1091",2,50,18,0,0,0,0,100,0
2017,"QN1091",1,0,18,0,0,0,0,100,0
2018,"QN1091",1,0,18,0,0,0,0,100,0
2019,"QN1091",0,0,0,0,0,0,0,0,0
2020,"QN1091",0,0,0,0,0,0,0,0,0
2010,"QN1101",33805,47.77,42.5,12.34,46.32,1.37,38.39,1.58,71453.27
2011,"QN1101",34043,47.84,42.7,12.5,44.84,1.41,39.6,1.65,71310.94
2012,"QN1101",34280,47.88,42.9,12.7,43.38,1.42,40.8,1.7,71239.27
2013,"QN1101",34518,47.92,43,12.9,41.92,1.43,42,1.75,71831.12
2014,"QN1101",34756,47.96,43.2,13.1,40.46,1.44,43.2,1.8,73552.22
2015,"QN1101",34994,48,43.4,13.3,39,1.45,44.4,1.85,76054.24
2016,"QN1101",35231,48.04,43.6,13.5,37.54,1.46,45.6,1.9,78531.09
2017,"QN1101",35469,48.08,43.8,13.7,36.08,1.47,46.8,1.95,76255.37
2018,"QN1101",35707,48.12,43.9,13.9,34.62,1.48,48,2,77075.04
2019,"QN1101",35944,48.16,44.1,14.1,33.16,1.49,49.2,2.05,77544.76
2020,"QN1101",36182,48.23,44.3,14.26,31.65,1.52,50.36,2.21,71442.95
2010,"QN1102",34742,48.07,41.6,10.35,43.7,2.71,41.59,1.65,72763.75
2011,"QN1102",34827,48.15,41.8,10.44,42.62,2.66,42.52,1.76,76860.43
2012,"QN1102",34911,48.2,42.1,10.58,41.54,2.62,43.44,1.82,76732.42
2013,"QN1102",34996,48.25,42.3,10.72,40.46,2.58,44.36,1.88,75840.68
2014,"QN1102",35080,48.3,42.6,10.86,39.38,2.54,45.28,1.94,76962.18
2015,"QN1102",35165,48.35,42.8,11,38.3,2.5,46.2,2,77909.06
2016,"QN1102",35250,48.4,43.1,11.14,37.22,2.46,47.12,2.06,80582.75
2017,"QN1102",35334,48.45,43.3,11.28,36.14,2.42,48.04,2.12,88074.17
2018,"QN1102",35419,48.5,43.6,11.42,35.06,2.38,48.96,2.18,90688.63
2019,"QN1102",35503,48.55,43.8,11.56,33.98,2.34,49.88,2.24,93526.24
2020,"QN1102",35588,48.56,44.1,11.7,32.9,2.26,50.79,2.35,96703.52
2010,"QN1103",24739,47.3,45.6,8.15,53.34,1.28,35.64,1.59,79007.05
2011,"QN1103",24791,47.35,45.8,8.27,52.06,1.33,36.53,1.81,89508.41
2012,"QN1103",24844,47.4,46,8.44,50.82,1.36,37.46,1.92,89920.18
2013,"QN1103",24896,47.45,46.3,8.61,49.58,1.39,38.39,2.03,85281.54
2014,"QN1103",24948,47.5,46.5,8.78,48.34,1.42,39.32,2.14,85499.84
2015,"QN1103",25001,47.55,46.7,8.95,47.1,1.45,40.25,2.25,88555.24
2016,"QN1103",25053,47.6,46.9,9.12,45.86,1.48,41.18,2.36,86054.37
2017,"QN1103",25105,47.65,47.1,9.29,44.62,1.51,42.11,2.47,93904.41
2018,"QN1103",25157,47.7,47.4,9.46,43.38,1.54,43.04,2.58,95701.01
2019,"QN1103",25210,47.75,47.6,9.63,42.14,1.57,43.97,2.69,97713.41
2020,"QN1103",25262,47.76,47.8,9.85,40.93,1.62,44.94,2.66,97118.2
2010,"QN1104",23494,46.98,44.4,8.67,46.3,2.86,40.4,1.76,73839.19
2011,"QN1104",23670,47.07,44.5,8.9,45.03,2.96,41.24,1.86,73188.52
2012,"QN1104",23845,47.14,44.7,9.1,43.76,3.02,42.08,2.04,73305.41
2013,"QN1104",24020,47.21,44.8,9.3,42.49,3.08,42.92,2.21,74963.64
2014,"QN1104",24196,47.28,44.9,9.5,41.22,3.14,43.76,2.38,73494.91
2015,"QN1104",24372,47.35,45,9.7,39.95,3.2,44.6,2.55,73339.95
2016,"QN1104",24547,47.42,45.2,9.9,38.68,3.26,45.44,2.72,71567.28
2017,"QN1104",24722,47.49,45.3,10.1,37.41,3.32,46.28,2.89,81955.02
2018,"QN1104",24898,47.56,45.4,10.3,36.14,3.38,47.12,3.06,83916.38
2019,"QN1104",25074,47.63,45.6,10.5,34.87,3.44,47.96,3.23,81970.08
2020,"QN1104",25249,47.67,45.7,10.74,33.61,3.49,48.83,3.33,85636.92
2010,"QN1191",72,98.61,68.2,11.11,79.17,8.33,1.39,0,0
2011,"QN1191",73,98.63,67.2,12.33,78.08,6.85,1.37,1.37,0
2012,"QN1191",75,97.33,66.1,12,78.67,6.67,2.67,0,0
2013,"QN1191",76,97.37,65.1,13.16,77.63,5.26,2.63,1.32,0
2014,"QN1191",77,96.1,64.1,14.29,76.62,5.19,2.6,1.3,0
2015,"QN1191",79,96.2,63.1,15.19,77.22,3.8,2.53,1.27,0
2016,"QN1191",80,95,62,16.25,76.25,3.75,3.75,0,0
2017,"QN1191",81,95.06,61,16.05,75.31,2.47,3.7,2.47,0
2018,"QN1191",82,93.9,60,17.07,75.61,1.22,3.66,2.44,0
2019,"QN1191",84,94.05,58.9,17.86,75,1.19,4.76,1.19,0
2020,"QN1191",85,92.94,57.9,18.82,74.12,0,4.71,2.35,0
2010,"QN1201",53883,50.51,33.9,39.44,3.84,21.72,24.68,10.32,40142.58
2011,"QN1201",54594,50.36,34.2,38.88,3.75,21.27,25.72,10.38,39549.33
2012,"QN1201",55305,50.22,34.5,38.36,3.7,20.84,26.74,10.36,38997.27
2013,"QN1201",56016,50.08,34.8,37.84,3.65,20.41,27.76,10.34,40105.25
2014,"QN1201",56727,49.94,35.1,37.32,3.6,19.98,28.78,10.32,39193.53
2015,"QN1201",57438,49.8,35.4,36.8,3.55,19.55,29.8,10.3,41793.5
2016,"QN1201",58149,49.66,35.7,36.28,3.5,19.12,30.82,10.28,43469.51
2017,"QN1201",58860,49.52,36,35.76,3.45,18.69,31.84,10.26,49123.95
2018,"QN1201",59571,49.38,36.3,35.24,3.4,18.26,32.86,10.24,51100.72
2019,"QN1201",60282,49.24,36.6,34.72,3.35,17.83,33.88,10.22,53824.88
2020,"QN1201",60993,49.13,36.9,34.2,3.28,17.4,34.86,10.26,57592.6
2010,"QN1202",36938,45.57,32.9,15.56,0.95,71.6,5.32,6.56,47604.66
2011,"QN1202",37684,45.75,33.2,15.85,1.02,69.66,6.4,7.07,48070.88
2012,"QN1202",38431,45.9,33.6,16.1,1.04,67.72,7.5,7.64,49714.08
2013,"QN1202",39177,46.05,33.9,16.35,1.06,65.78,8.6,8.21,47834.8
2014,"QN1202",39923,46.2,34.3,16.6,1.08,63.84,9.7,8.78,48090.75
2015,"QN1202",40670,46.35,34.6,16.85,1.1,61.9,10.8,9.35,50203.43
2016,"QN1202",41416,46.5,34.9,17.1,1.12,59.96,11.9,9.92,52909.8
2017,"QN1202",42162,46.65,35.3,17.35,1.14,58.02,13,10.49,58985.98
2018,"QN1202",42908,46.8,35.6,17.6,1.16,56.08,14.1,11.06,61217.16
2019,"QN1202",43655,46.95,36,17.85,1.18,54.14,15.2,11.63,65148.66
2020,"QN1202",44401,47.12,36.3,18.11,1.16,52.16,16.31,12.27,66979.15
2010,"QN1203",37699,45.66,34.6,10.89,0.81,77.81,4.29,6.19,59108.14
2011,"QN1203",38238,45.75,34.9,11.22,0.86,76.03,4.75,7.14,59274.38
2012,"QN1203",38777,45.8,35.3,11.54,0.92,74.26,5.2,8.08,60762.75
2013,"QN1203",39316,45.85,35.6,11.86,0.98,72.49,5.65,9.02,61357.52
2014,"QN1203",39855,45.9,35.9,12.18,1.04,70.72,6.1,9.96,59446.45
2015,"QN1203",40394,45.95,36.2,12.5,1.1,68.95,6.55,10.9,59743.27
2016,"QN1203",40934,46,36.6,12.82,1.16,67.18,7,11.84,63287.61
2017,"QN1203",41473,46.05,36.9,13.14,1.22,65.41,7.45,12.78,67879.21
2018,"QN1203",42012,46.1,37.2,13.46,1.28,63.64,7.9,13.72,69606.66
2019,"QN1203",42551,46.15,37.6,13.78,1.34,61.87,8.35,14.66,72340.15
2020,"QN1203",43090,46.22,37.9,14.1,1.42,60.09,8.83,15.57,71371.69
2010,"QN1204",28537,42.12,39.9,6.91,0.75,88.73,0.82,2.79,67322.91
2011,"QN1204",28972,42.25,40.1,7.12,0.83,87.93,0.93,3.19,65001.49
2012,"QN1204",29406,42.4,40.3,7.34,0.86,87.16,1.06,3.58,63369.56
2013,"QN1204",29841,42.55,40.6,7.56,0.89,86.39,1.19,3.97,63912.24
2014,"QN1204",30275,42.7,40.8,7.78,0.92,85.62,1.32,4.36,69382.89
2015,"QN1204",30710,42.85,41,8,0.95,84.85,1.45,4.75,70903.89
2016,"QN1204",31145,43,41.2,8.22,0.98,84.08,1.58,5.14,72621.25
2017,"QN1204",31579,43.15,41.4,8.44,1.01,83.31,1.71,5.53,69202.57
2018,"QN1204",32014,43.3,41.7,8.66,1.04,82.54,1.84,5.92,69650.34
2019,"QN1204",32448,43.45,41.9,8.88,1.07,81.77,1.97,6.31,79829.27
2020,"QN1204",32883,43.62,42.1,9.08,1.07,81.05,2.13,6.68,65439.07
2010,"QN1205",47831,45.17,38.6,6.28,1.03,88.61,1.07,3.01,66730.71
2011,"QN1205",48230,45.28,38.8,6.61,1.02,87.59,1.33,3.45,69954.69
2012,"QN1205",48628,45.36,39.1,6.92,1.04,86.58,1.56,3.9,73338.75
2013,"QN1205",49026,45.44,39.4,7.23,1.06,85.57,1.79,4.35,71804.15
2014,"QN1205",49425,45.52,39.6,7.54,1.08,84.56,2.02,4.8,70715.71
2015,"QN1205",49824,45.6,39.9,7.85,1.1,83.55,2.25,5.25,69301.26
2016,"QN1205",50222,45.68,40.1,8.16,1.12,82.54,2.48,5.7,71561.4
2017,"QN1205",50620,45.76,40.4,8.47,1.14,81.53,2.71,6.15,79779.24
2018,"QN1205",51019,45.84,40.6,8.78,1.16,80.52,2.94,6.6,81938.31
2019,"QN1205",51418,45.92,40.9,9.09,1.18,79.51,3.17,7.05,82631.63
2020,"QN1205",51816,45.97,41.1,9.42,1.19,78.48,3.4,7.51,82570.36
2010,"QN1206",22349,47.06,37.4,14.62,2.7,54.95,15.47,12.25,62356.74
2011,"QN1206",22572,47.12,37.6,14.63,2.7,54,16.16,12.51,61063.47
2012,"QN1206",22794,47.14,37.8,14.66,2.7,53,16.82,12.82,58988.73
2013,"QN1206",23017,47.16,38,14.69,2.7,52,17.48,13.13,59284.82
2014,"QN1206",23240,47.18,38.2,14.72,2.7,51,18.14,13.44,61169.31
2015,"QN1206",23462,47.2,38.4,14.75,2.7,50,18.8,13.75,64559.95
2016,"QN1206",23685,47.22,38.7,14.78,2.7,49,19.46,14.06,64536.12
2017,"QN1206",23908,47.24,38.9,14.81,2.7,48,20.12,14.37,70451.81
2018,"QN1206",24131,47.26,39.1,14.84,2.7,47,20.78,14.68,72478.28
2019,"QN1206",24353,47.28,39.3,14.87,2.7,46,21.44,14.99,73470.95
2020,"QN1206",24576,47.28,39.5,14.94,2.68,45.01,22.08,15.3,78695.96
2010,"QN1301",22571,45.78,48.1,9.22,48.35,4.58,33.57,4.28,72363.81
2011,"QN1301",22650,45.86,48.3,9.37,47.13,4.64,34.6,4.26,74468.05
